Date,Location,Attendees,Event (legacy; see tags),Tags,Curated,Source,Total Articles,State,lat,lng
2020-07-12,"La Grange, KY",0.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.oldhamera.com/content/respond-with-love-protesters-stand-la-grange-more-40-nights,1, KY,38.4075666,-85.37884679999999
2020-07-12,"Bandon, OR",0.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://theworldlink.com/community/bandon/news/peaceful-black-lives-matter-protest-continues-in-bandon/article_dc65be26-d0f3-11ea-a3ba-57828ae4ef76.html,1, OR,43.1189978,-124.408448
2020-07-13,"Syracuse, NY",0.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.youtube.com/watch?v=kJ-6p3gc5qA,2, NY,43.0481221,-76.14742439999999
2020-07-13,"Court Square, Springfield, MA",20.0,Racial Injustice,Civil Rights; For racial justice,Yes,https://www.masslive.com/news/2020/07/public-defenders-in-springfield-host-justice-focused-black-lives-matter-rally-as-courts-cautiously-reopen-amid-the-pandemic.html,1, MA,42.1012421,-72.5886836
2020-07-13,"Louisville, KY",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.wlky.com/article/after-6-weeks-protesters-say-they-wont-stop-until-justice-served-in-breonna-taylor-case/33297647,1, KY,38.2526647,-85.7584557
2020-07-13,"East Liberty, Pittsburgh, PA",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://triblive.com/local/pittsburgh-allegheny/protestors-in-pittsburgh-march-against-reuse-of-east-liberty-police-station/,3, PA,40.4643479,-79.926266
2020-07-13,"Jeffersonville, IN",25.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.newsandtribune.com/news/mother-of-man-shot-during-traffic-stop-leads-demonstration-in-jeffersonville/article_c19a593c-c548-11ea-a5e4-87af9d14dcac.html,1, IN,38.2775702,-85.7371847
2020-07-13,"Sarasota, FL",10.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.heraldtribune.com/news/20200713/street-corner-protesters-shout-calls-for-equality-in-sarasota,1, FL,27.3364347,-82.53065269999999
2020-07-13,"South Bend, IN",10.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Counter protest; Police,Yes,https://www.southbendtribune.com/news/local/community-members-show-support-for-police-in-downtown-rally/article_a49f1468-c560-11ea-95e1-0bbab3d8f6bf.html,3, IN,41.6763545,-86.25198979999999
2020-07-13,"Center City, Philadelphia, PA",50.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.phillytrib.com/news/local_news/philly-protest-marks-deaths-of-sandra-bland-breonna-taylor/article_7bb761a9-ee11-5d8b-bbf8-8e0c3d31e32e.html,2, PA,39.9509036,-75.1574567
2020-07-13,"Kelso, WA",60.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://tdn.com/news/local/black-lives-matter-protest-met-with-counter-protest-ends-without-incident/article_2e5b60ef-be16-5d69-b397-a4df11bdc243.html,3, WA,46.146779,-122.9084445
